Target,Observer,Start Time (UTC),Stop Time (UTC),Duration (s)
SCD2,EMMN,2000-01-01 16:08:03.347,2000-01-01 16:16:48.956,525.60939101
SCD2,EMMN,2000-01-01 17:52:52.168,2000-01-01 18:04:50.303,718.13474768
SCD2,EMMN,2000-01-01 19:39:36.926,2000-01-01 19:50:56.086,679.16063927
SCD2,EMMN,2000-01-01 21:28:11.340,2000-01-01 21:36:10.774,479.43413572
SCD2,EMMN,2000-01-01 23:17:37.296,2000-01-01 23:21:45.004,247.70836397
SCD2,EMMN,2000-01-02 01:04:08.546,2000-01-02 01:10:27.230,378.68454672
SCD2,EMMN,2000-01-02 02:49:18.375,2000-01-02 02:59:30.769,612.39407103
SCD2,EMMN,2000-01-02 04:35:00.558,2000-01-02 04:46:51.445,710.88684927
SCD2,EMMN,2000-01-02 06:22:10.750,2000-01-02 06:32:20.706,609.95613226
SCD2,EMMN,2000-01-02 15:23:16.695,2000-01-02 15:28:33.550,316.85533728
SCD2,EMMN,2000-01-02 17:06:52.146,2000-01-02 17:18:08.363,676.21721736
SCD2,EMMN,2000-01-02 18:52:52.862,2000-01-02 19:04:49.728,716.86599387
SCD2,EMMN,2000-01-02 20:40:44.472,2000-01-02 20:50:18.907,574.43489690
SCD2,EMMN,2000-01-02 22:30:07.834,2000-01-02 22:35:30.444,322.61017839
SCD2,EMMN,2000-01-03 00:18:06.704,2000-01-03 00:22:50.002,283.29871452
SCD2,EMMN,2000-01-03 02:03:24.677,2000-01-03 02:12:14.952,530.27417944
SCD2,EMMN,2000-01-03 03:48:47.597,2000-01-03 04:00:19.701,692.10432441
SCD2,EMMN,2000-01-03 05:35:14.512,2000-01-03 05:46:33.855,679.34287997
SCD2,EMMN,2000-01-03 07:24:10.200,2000-01-03 07:30:36.873,386.67300451
SCD2,EMMN,2000-01-03 16:21:11.577,2000-01-03 16:31:02.549,590.97184263
SCD2,EMMN,2000-01-03 18:06:26.460,2000-01-03 18:18:32.181,725.72065440
SCD2,EMMN,2000-01-03 19:53:33.648,2000-01-03 20:04:23.593,649.94503978
SCD2,EMMN,2000-01-03 21:42:27.715,2000-01-03 21:49:34.189,426.47390667
SCD2,EMMN,2000-01-03 23:31:37.042,2000-01-03 23:35:34.351,237.30904242
SCD2,EMMN,2000-01-04 01:17:32.874,2000-01-04 01:24:44.405,431.53141199
SCD2,EMMN,2000-01-04 03:02:44.606,2000-01-04 03:13:30.211,645.60500882
SCD2,EMMN,2000-01-04 04:48:39.572,2000-01-04 05:00:28.417,708.84539798
SCD2,EMMN,2000-01-04 06:36:17.802,2000-01-04 06:45:33.135,555.33300235
SCD2,EMMN,2000-01-04 15:35:58.799,2000-01-04 15:43:19.740,440.94116280
SCD2,EMMN,2000-01-04 17:20:17.463,2000-01-04 17:31:59.670,702.20761620
SCD2,EMMN,2000-01-04 19:06:40.513,2000-01-04 19:18:21.694,701.18056013
SCD2,EMMN,2000-01-04 20:54:54.244,2000-01-04 21:03:42.539,528.29443164
SCD2,EMMN,2000-01-04 22:44:23.729,2000-01-04 22:49:01.719,277.98935826
SCD2,EMMN,2000-01-05 00:31:37.178,2000-01-05 00:37:05.931,328.75266419
SCD2,EMMN,2000-01-05 02:16:48.551,2000-01-05 02:26:22.996,574.44454059
SCD2,EMMN,2000-01-05 04:02:20.267,2000-01-05 04:14:05.536,705.26943009
SCD2,EMMN,2000-01-05 05:49:07.435,2000-01-05 05:59:57.239,649.80455856
SCD2,EMMN,2000-01-05 07:39:11.398,2000-01-05 07:43:04.486,233.08845358
SCD2,EMMN,2000-01-05 14:52:50.078,2000-01-05 14:53:19.006,28.928536386
SCD2,EMMN,2000-01-05 16:34:26.586,2000-01-05 16:45:06.997,640.41094249
SCD2,EMMN,2000-01-05 18:20:05.209,2000-01-05 18:32:10.236,725.02628487
SCD2,EMMN,2000-01-05 20:07:34.937,2000-01-05 20:17:49.406,614.46924177
SCD2,EMMN,2000-01-05 21:56:45.946,2000-01-05 22:02:58.676,372.73068581
SCD2,EMMN,2000-01-05 23:45:24.688,2000-01-05 23:49:35.633,250.94493268
SCD2,EMMN,2000-01-06 01:30:56.304,2000-01-06 01:38:59.405,483.10059296
SCD2,EMMN,2000-01-06 03:16:12.620,2000-01-06 03:27:25.079,672.45977885
SCD2,EMMN,2000-01-06 05:02:22.578,2000-01-06 05:14:00.926,698.34857866
SCD2,EMMN,2000-01-06 06:50:35.081,2000-01-06 06:58:37.877,482.79576253
SCD2,ETA,2000-01-01 16:05:16.316,2000-01-01 16:13:45.790,509.47369882
SCD2,ETA,2000-01-01 17:50:06.008,2000-01-01 18:02:00.087,714.07869790
SCD2,ETA,2000-01-01 19:36:44.017,2000-01-01 19:48:08.550,684.53273376
SCD2,ETA,2000-01-01 21:25:34.083,2000-01-01 21:32:54.677,440.59344479
SCD2,ETA,2000-01-02 02:48:49.827,2000-01-02 02:55:35.211,405.38346145
SCD2,ETA,2000-01-02 04:33:29.956,2000-01-02 04:44:32.356,662.39974019
SCD2,ETA,2000-01-02 06:19:32.583,2000-01-02 06:31:14.321,701.73838532
SCD2,ETA,2000-01-02 08:07:37.737,2000-01-02 08:16:07.577,509.84017428
SCD2,ETA,2000-01-02 15:20:20.239,2000-01-02 15:25:30.054,309.81517041
SCD2,ETA,2000-01-02 17:04:07.561,2000-01-02 17:15:13.241,665.68003383
SCD2,ETA,2000-01-02 18:50:02.363,2000-01-02 19:02:03.295,720.93153867
SCD2,ETA,2000-01-02 20:37:54.168,2000-01-02 20:47:20.839,566.67013125
SCD2,ETA,2000-01-02 22:29:21.535,2000-01-02 22:30:20.995,59.460522572
SCD2,ETA,2000-01-03 02:03:49.302,2000-01-03 02:07:06.499,197.19755711
SCD2,ETA,2000-01-03 03:47:39.067,2000-01-03 03:57:27.976,588.90883864
SCD2,ETA,2000-01-03 05:33:07.443,2000-01-03 05:44:58.124,710.68106998
SCD2,ETA,2000-01-03 07:20:14.747,2000-01-03 07:30:35.134,620.38679102
SCD2,ETA,2000-01-03 09:11:13.272,2000-01-03 09:13:16.729,123.45712149
SCD2,ETA,2000-01-03 16:18:26.290,2000-01-03 16:28:01.839,575.54846018
SCD2,ETA,2000-01-03 18:03:38.974,2000-01-03 18:15:43.824,724.85013352
SCD2,ETA,2000-01-03 19:50:40.368,2000-01-03 20:01:33.969,653.60173797
SCD2,ETA,2000-01-03 21:40:05.012,2000-01-03 21:46:01.792,356.77976209
SCD2,ETA,2000-01-04 03:02:00.556,2000-01-04 03:09:59.119,478.56324236
SCD2,ETA,2000-01-04 04:46:57.502,2000-01-04 04:58:24.358,686.85623001
SCD2,ETA,2000-01-04 06:33:19.715,2000-01-04 06:44:43.783,684.06795524
SCD2,ETA,2000-01-04 08:22:02.518,2000-01-04 08:29:10.804,428.28528477
SCD2,ETA,2000-01-04 15:33:08.590,2000-01-04 15:40:15.137,426.54742455
SCD2,ETA,2000-01-04 17:17:32.292,2000-01-04 17:29:07.202,694.90966117
SCD2,ETA,2000-01-04 19:03:48.612,2000-01-04 19:15:35.143,706.53049559
SCD2,ETA,2000-01-04 20:52:08.717,2000-01-04 21:00:36.997,508.27976356
SCD2,ETA,2000-01-05 02:16:39.900,2000-01-05 02:21:58.087,318.18689753
SCD2,ETA,2000-01-05 04:01:00.515,2000-01-05 04:11:30.960,630.44535740
SCD2,ETA,2000-01-05 05:46:45.651,2000-01-05 05:58:35.981,710.33022824
SCD2,ETA,2000-01-05 07:34:20.214,2000-01-05 07:43:51.457,571.24361058
SCD2,ETA,2000-01-05 14:49:15.644,2000-01-05 14:50:48.289,92.645759555
SCD2,ETA,2000-01-05 16:31:42.020,2000-01-05 16:42:09.108,627.08768538
SCD2,ETA,2000-01-05 18:17:16.214,2000-01-05 18:29:23.176,726.96215340
SCD2,ETA,2000-01-05 20:04:42.365,2000-01-05 20:14:56.347,613.98279896
SCD2,ETA,2000-01-05 21:54:49.518,2000-01-05 21:58:59.129,249.61039518
SCD2,ETA,2000-01-06 03:15:15.545,2000-01-06 03:24:15.060,539.51495485
SCD2,ETA,2000-01-06 05:00:28.356,2000-01-06 05:12:11.328,702.97203100
SCD2,ETA,2000-01-06 06:47:12.196,2000-01-06 06:58:09.057,656.86103620
SCD2,ETA,2000-01-06 08:36:44.240,2000-01-06 08:42:00.969,316.72906308
SCD2,ETC,2000-01-01 19:35:41.715,2000-01-01 19:46:16.359,634.64451738
SCD2,ETC,2000-01-01 21:21:11.924,2000-01-01 21:33:15.265,723.34158079
SCD2,ETC,2000-01-01 23:08:08.105,2000-01-01 23:19:29.350,681.24495205
SCD2,ETC,2000-01-02 00:55:25.587,2000-01-02 01:06:05.266,639.67888865
SCD2,ETC,2000-01-02 02:42:05.029,2000-01-02 02:53:18.643,673.61405462
SCD2,ETC,2000-01-02 04:28:20.618,2000-01-02 04:40:11.785,711.16744678
