Target,Observer,Start Time (UTC),Stop Time (UTC),Duration (s),rev_time,day,coverage
CBERS4A,AC,2000-01-01 18:10:59.424,2000-01-01 18:21:02.092,602.66851588,0.0,2000-01-01,0.00697533
CBERS4A,AC,2000-01-01 19:50:41.701,2000-01-01 19:59:04.899,503.19810421,5379.609,2000-01-01,0.0058240521
CBERS4A,AC,2000-01-02 06:36:54.111,2000-01-02 06:47:47.941,653.83046617,38269.212,2000-01-02,0.0075674822
CBERS4A,AC,2000-01-02 08:18:16.017,2000-01-02 08:23:48.667,332.64954665,5428.076,2000-01-02,0.0038501105
CBERS4A,AC,2000-01-02 17:37:53.731,2000-01-02 17:44:06.480,372.74878977,33245.064,2000-01-02,0.0043142221
CBERS4A,AC,2000-01-02 19:14:16.533,2000-01-02 19:25:08.087,651.55437588,5410.053,2000-01-02,0.0075411386
CBERS4A,AC,2000-01-03 06:02:51.599,2000-01-03 06:11:28.643,517.0445593,38263.512,2000-01-03,0.005984312
CBERS4A,AC,2000-01-03 07:41:08.490,2000-01-03 07:50:55.691,587.20076415,5379.847,2000-01-03,0.0067963051
CBERS4A,AC,2000-01-03 18:38:51.331,2000-01-03 18:50:15.188,683.85752589,38875.64,2000-01-03,0.0079150177
CBERS4A,AC,2000-01-04 07:05:20.099,2000-01-04 07:16:33.973,673.87400059,44104.911,2000-01-04,0.0077994676
CBERS4A,AC,2000-01-04 18:04:15.619,2000-01-04 18:14:38.947,623.32833172,38861.646,2000-01-04,0.0072144483
CBERS4A,AC,2000-01-04 19:44:31.563,2000-01-04 19:52:10.791,459.22848472,5392.616,2000-01-04,0.0053151445
CBERS4A,AC,2000-01-05 06:30:16.299,2000-01-05 06:41:20.910,664.61071473,38285.508,2000-01-05,0.0076922536
CBERS4A,AC,2000-01-05 08:12:26.873,2000-01-05 08:16:28.532,241.65895659,5465.963,2000-01-05,0.0027969787
CBERS4A,AC,2000-01-05 17:30:50.263,2000-01-05 17:38:01.197,430.93413664,33261.731,2000-01-05,0.0049876636
CBERS4A,AC,2000-01-05 19:07:51.787,2000-01-05 19:18:28.144,636.35730859,5390.59,2000-01-05,0.0073652466
CBERS4A,AC,2000-01-06 05:56:02.444,2000-01-06 06:05:13.485,551.04140863,38254.3,2000-01-06,0.0063777941
CBERS4A,AC,2000-01-06 07:34:48.100,2000-01-06 07:44:08.752,560.65188318,5374.615,2000-01-06,0.0064890264
CBERS4A,AL,2000-01-01 16:29:32.312,2000-01-01 16:40:47.977,675.66502795,0.0,2000-01-01,0.0078201971
CBERS4A,AL,2000-01-02 04:56:03.724,2000-01-02 05:07:24.225,680.50107155,44115.747,2000-01-02,0.0078761698
CBERS4A,AL,2000-01-02 15:55:13.739,2000-01-02 16:04:56.848,583.10840616,38869.514,2000-01-02,0.0067489399
CBERS4A,AL,2000-01-02 17:34:30.046,2000-01-02 17:43:23.086,533.04011885,5373.198,2000-01-02,0.0061694458
CBERS4A,AL,2000-01-03 04:21:12.626,2000-01-03 04:31:57.072,644.44536602,38269.54,2000-01-03,0.0074588584
CBERS4A,AL,2000-01-03 06:02:07.783,2000-01-03 06:08:27.761,379.97806936,5410.711,2000-01-03,0.0043978943
CBERS4A,AL,2000-01-03 15:22:29.066,2000-01-03 15:27:41.457,312.39076559,33241.305,2000-01-03,0.0036156339
CBERS4A,AL,2000-01-03 16:58:15.125,2000-01-03 17:09:16.687,661.56197693,5433.668,2000-01-03,0.0076569673
CBERS4A,AL,2000-01-04 03:47:19.432,2000-01-04 03:55:28.410,488.97754258,38282.745,2000-01-04,0.0056594623
CBERS4A,AL,2000-01-04 05:25:15.083,2000-01-04 05:35:18.389,603.30602814,5386.673,2000-01-04,0.0069827087
CBERS4A,AL,2000-01-04 16:22:56.611,2000-01-04 16:34:17.868,681.25745795,38858.222,2000-01-04,0.0078849243
CBERS4A,AL,2000-01-05 04:49:32.402,2000-01-05 05:00:49.932,677.52973633,44114.534,2000-01-05,0.0078417794
CBERS4A,AL,2000-01-05 15:48:28.314,2000-01-05 15:58:35.144,606.83003871,38858.382,2000-01-05,0.0070234958
CBERS4A,AL,2000-01-05 17:28:16.901,2000-01-05 17:36:31.883,494.98184453,5381.757,2000-01-05,0.0057289565
CBERS4A,AL,2000-01-06 04:14:33.794,2000-01-06 04:25:31.112,657.31746006,38281.911,2000-01-06,0.007607841
CBERS4A,AL,2000-01-06 05:56:09.471,2000-01-06 06:01:17.118,307.64701272,5438.359,2000-01-06,0.0035607293
CBERS4A,AM,2000-01-01 18:08:02.825,2000-01-01 18:19:16.098,673.27257337,0.0,2000-01-01,0.0077925066
CBERS4A,AM,2000-01-01 19:51:39.031,2000-01-01 19:53:19.918,100.88695656,5542.933,2000-01-01,0.0011676731
CBERS4A,AM,2000-01-02 06:38:08.822,2000-01-02 06:49:23.443,674.62100418,38688.904,2000-01-02,0.0078081135
CBERS4A,AM,2000-01-02 17:33:48.739,2000-01-02 17:43:17.800,569.06078761,38665.296,2000-01-02,0.0065863517
CBERS4A,AM,2000-01-02 19:12:50.189,2000-01-02 19:21:55.078,544.88829657,5372.389,2000-01-02,0.0063065775
CBERS4A,AM,2000-01-03 06:03:05.633,2000-01-03 06:14:10.720,665.08690061,38470.555,2000-01-03,0.0076977651
CBERS4A,AM,2000-01-03 07:45:41.462,2000-01-03 07:49:03.332,201.87047201,5490.742,2000-01-03,0.0023364638
CBERS4A,AM,2000-01-03 17:01:27.263,2000-01-03 17:05:33.034,245.77044417,33143.931,2000-01-03,0.0028445653
CBERS4A,AM,2000-01-03 18:36:41.383,2000-01-03 18:47:47.748,666.3652695,5468.349,2000-01-03,0.007712561
CBERS4A,AM,2000-01-04 05:28:55.502,2000-01-04 05:38:04.593,549.09074876,38467.754,2000-01-04,0.006355217
CBERS4A,AM,2000-01-04 07:07:41.049,2000-01-04 07:16:57.763,556.71400975,5376.456,2000-01-04,0.0064434492
CBERS4A,AM,2000-01-04 18:01:26.559,2000-01-04 18:12:46.664,680.1054563,38668.796,2000-01-04,0.0078715909
