Target: CBERS4A

Observer: AC
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 18:10:59.424    01 Jan 2000 18:21:02.092      602.66851588    
01 Jan 2000 19:50:41.701    01 Jan 2000 19:59:04.899      503.19810421    
02 Jan 2000 06:36:54.111    02 Jan 2000 06:47:47.941      653.83046617    
02 Jan 2000 08:18:16.017    02 Jan 2000 08:23:48.667      332.64954665    
02 Jan 2000 17:37:53.731    02 Jan 2000 17:44:06.480      372.74878883    
02 Jan 2000 19:14:16.533    02 Jan 2000 19:25:08.087      651.55437682    
03 Jan 2000 06:02:51.599    03 Jan 2000 06:11:28.643      517.04455930    
03 Jan 2000 07:41:08.490    03 Jan 2000 07:50:55.691      587.20076415    
03 Jan 2000 18:38:51.331    03 Jan 2000 18:50:15.188      683.85752620    
04 Jan 2000 07:05:20.099    04 Jan 2000 07:16:33.973      673.87400122    
04 Jan 2000 18:04:15.619    04 Jan 2000 18:14:38.947      623.32833172    
04 Jan 2000 19:44:31.563    04 Jan 2000 19:52:10.791      459.22848472    
05 Jan 2000 06:30:16.299    05 Jan 2000 06:41:20.910      664.61071473    
05 Jan 2000 08:12:26.873    05 Jan 2000 08:16:28.532      241.65895659    
05 Jan 2000 17:30:50.263    05 Jan 2000 17:38:01.197      430.93413664    
05 Jan 2000 19:07:51.787    05 Jan 2000 19:18:28.144      636.35730922    
06 Jan 2000 05:56:02.444    06 Jan 2000 06:05:13.485      551.04140863    
06 Jan 2000 07:34:48.100    06 Jan 2000 07:44:08.752      560.65188318    


Number of events : 18


Observer: AL
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:29:32.312    01 Jan 2000 16:40:47.977      675.66502795    
02 Jan 2000 04:56:03.724    02 Jan 2000 05:07:24.225      680.50107155    
02 Jan 2000 15:55:13.739    02 Jan 2000 16:04:56.848      583.10840616    
02 Jan 2000 17:34:30.046    02 Jan 2000 17:43:23.086      533.04011885    
03 Jan 2000 04:21:12.626    03 Jan 2000 04:31:57.072      644.44536665    
03 Jan 2000 06:02:07.783    03 Jan 2000 06:08:27.761      379.97806936    
03 Jan 2000 15:22:29.066    03 Jan 2000 15:27:41.457      312.39076559    
03 Jan 2000 16:58:15.125    03 Jan 2000 17:09:16.687      661.56197630    
04 Jan 2000 03:47:19.432    04 Jan 2000 03:55:28.410      488.97754258    
04 Jan 2000 05:25:15.083    04 Jan 2000 05:35:18.389      603.30602814    
04 Jan 2000 16:22:56.611    04 Jan 2000 16:34:17.868      681.25745795    
05 Jan 2000 04:49:32.402    05 Jan 2000 05:00:49.932      677.52973570    
05 Jan 2000 15:48:28.314    05 Jan 2000 15:58:35.144      606.83003871    
05 Jan 2000 17:28:16.901    05 Jan 2000 17:36:31.883      494.98184453    
06 Jan 2000 04:14:33.794    06 Jan 2000 04:25:31.112      657.31746006    
06 Jan 2000 05:56:09.471    06 Jan 2000 06:01:17.118      307.64701272    


Number of events : 16


Observer: AM
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 18:08:02.825    01 Jan 2000 18:19:16.098      673.27257337    
01 Jan 2000 19:51:39.031    01 Jan 2000 19:53:19.918      100.88695656    
02 Jan 2000 06:38:08.822    02 Jan 2000 06:49:23.443      674.62100324    
02 Jan 2000 17:33:48.739    02 Jan 2000 17:43:17.800      569.06078761    
02 Jan 2000 19:12:50.189    02 Jan 2000 19:21:55.078      544.88829720    
03 Jan 2000 06:03:05.633    03 Jan 2000 06:14:10.720      665.08690061    
03 Jan 2000 07:45:41.462    03 Jan 2000 07:49:03.332      201.87047201    
03 Jan 2000 17:01:27.263    03 Jan 2000 17:05:33.034      245.77044355    
03 Jan 2000 18:36:41.383    03 Jan 2000 18:47:47.748      666.36526950    
04 Jan 2000 05:28:55.502    04 Jan 2000 05:38:04.593      549.09074876    
04 Jan 2000 07:07:41.049    04 Jan 2000 07:16:57.763      556.71400975    
04 Jan 2000 18:01:26.559    04 Jan 2000 18:12:46.664      680.10545630    
05 Jan 2000 04:57:08.748    05 Jan 2000 04:59:37.405      148.65698072    
05 Jan 2000 06:31:39.762    05 Jan 2000 06:42:46.794      667.03163992    
05 Jan 2000 17:27:02.275    05 Jan 2000 17:36:57.830      595.55504769    
05 Jan 2000 19:06:35.427    05 Jan 2000 19:15:04.219      508.79260276    
06 Jan 2000 05:56:28.838    06 Jan 2000 06:07:42.111      673.27308099    


Number of events : 17


Observer: AP
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:32:32.818    01 Jan 2000 16:34:28.298      115.47987617    
01 Jan 2000 18:06:40.265    01 Jan 2000 18:17:53.912      673.64700775    
02 Jan 2000 05:00:36.695    02 Jan 2000 05:09:54.455      557.76002663    
02 Jan 2000 06:39:30.648    02 Jan 2000 06:48:38.863      548.21521224    
02 Jan 2000 17:31:31.418    02 Jan 2000 17:42:47.166      675.74823762    
03 Jan 2000 04:28:31.140    03 Jan 2000 04:31:49.965      198.82516377    
03 Jan 2000 06:03:25.236    03 Jan 2000 06:14:30.257      665.02032545    
03 Jan 2000 16:57:14.071    03 Jan 2000 17:06:50.204      576.13334719    
03 Jan 2000 18:36:22.773    03 Jan 2000 18:45:19.587      536.81359654    
04 Jan 2000 05:28:12.237    04 Jan 2000 05:39:27.609      675.37141659    
04 Jan 2000 16:24:43.265    04 Jan 2000 16:29:10.772      267.50761347    
04 Jan 2000 18:00:12.285    04 Jan 2000 18:11:16.283      663.99795245    
