Target: SCD2

Observer: AC
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 19:31:53.643    01 Jan 2000 19:42:24.402      630.75900895    
01 Jan 2000 21:17:24.654    01 Jan 2000 21:29:29.670      725.01689515    
01 Jan 2000 23:04:39.383    01 Jan 2000 23:15:25.754      646.37122530    
02 Jan 2000 00:52:51.283    02 Jan 2000 01:01:27.016      515.73325926    
02 Jan 2000 02:40:13.266    02 Jan 2000 02:48:48.823      515.55696615    
02 Jan 2000 04:26:14.604    02 Jan 2000 04:36:56.143      641.53916698    
02 Jan 2000 06:12:12.708    02 Jan 2000 06:24:03.665      710.95667670    
02 Jan 2000 07:59:23.791    02 Jan 2000 08:09:25.849      602.05745565    
02 Jan 2000 18:46:32.902    02 Jan 2000 18:55:00.789      507.88667860    
02 Jan 2000 20:31:09.233    02 Jan 2000 20:43:03.635      714.40240711    
02 Jan 2000 22:17:46.011    02 Jan 2000 22:29:17.928      691.91715829    
03 Jan 2000 00:05:44.718    03 Jan 2000 00:15:07.698      562.97978464    
03 Jan 2000 01:53:39.860    03 Jan 2000 02:01:51.650      491.79042588    
03 Jan 2000 03:40:06.041    03 Jan 2000 03:49:54.959      588.91810735    
03 Jan 2000 05:25:56.148    03 Jan 2000 05:37:34.809      698.66126116    
03 Jan 2000 07:12:27.852    03 Jan 2000 07:23:42.834      674.98253285    
03 Jan 2000 09:01:30.662    03 Jan 2000 09:07:23.939      353.27716435    


Number of events : 17


Observer: AL
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:09:53.932    01 Jan 2000 16:15:43.709      349.77764224    
01 Jan 2000 17:53:31.040    01 Jan 2000 18:04:56.602      685.56169871    
01 Jan 2000 19:39:37.408    01 Jan 2000 19:51:31.628      714.21953085    
01 Jan 2000 21:27:18.958    01 Jan 2000 21:37:19.494      600.53639357    
01 Jan 2000 23:15:32.561    01 Jan 2000 23:23:35.921      483.35983454    
02 Jan 2000 01:02:26.907    02 Jan 2000 01:11:24.180      537.27341067    
02 Jan 2000 02:48:17.133    02 Jan 2000 02:59:26.605      669.47149700    
02 Jan 2000 04:34:25.710    02 Jan 2000 04:46:10.404      704.69378036    
02 Jan 2000 06:22:13.602    02 Jan 2000 06:30:57.921      524.31919074    
02 Jan 2000 17:07:49.014    02 Jan 2000 17:17:57.858      608.84381934    
02 Jan 2000 18:53:09.036    02 Jan 2000 19:05:14.336      725.30021091    
02 Jan 2000 20:40:16.355    02 Jan 2000 20:51:12.634      656.27865874    
02 Jan 2000 22:28:30.170    02 Jan 2000 22:37:07.180      517.00963191    
03 Jan 2000 00:16:04.701    03 Jan 2000 00:24:18.813      494.11169076    
03 Jan 2000 02:02:10.017    03 Jan 2000 02:12:31.031      621.01352551    
03 Jan 2000 03:48:02.645    03 Jan 2000 03:59:52.004      709.35948221    
03 Jan 2000 05:34:57.961    03 Jan 2000 05:45:31.425      633.46355951    


Number of events : 17


Observer: AM
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 17:46:51.336    01 Jan 2000 17:56:52.031      600.69578248    
01 Jan 2000 19:32:13.113    01 Jan 2000 19:44:19.878      726.76517229    
01 Jan 2000 21:19:25.766    01 Jan 2000 21:30:03.309      637.54289233    
01 Jan 2000 23:08:58.198    01 Jan 2000 23:14:33.417      335.21904275    
02 Jan 2000 02:46:17.779    02 Jan 2000 02:48:12.791      115.01173567    
02 Jan 2000 04:29:54.640    02 Jan 2000 04:39:04.431      549.79184509    
02 Jan 2000 06:15:12.383    02 Jan 2000 06:26:56.455      704.07196154    
02 Jan 2000 08:01:58.238    02 Jan 2000 08:12:51.664      653.42576421    
02 Jan 2000 09:51:40.750    02 Jan 2000 09:56:31.322      290.57194126    
02 Jan 2000 17:01:28.968    02 Jan 2000 17:09:14.553      465.58512835    
02 Jan 2000 18:46:02.601    02 Jan 2000 18:57:47.907      705.30543089    
02 Jan 2000 20:32:29.339    02 Jan 2000 20:44:06.313      696.97464224    
02 Jan 2000 22:21:00.286    02 Jan 2000 22:29:06.113      485.82736321    
03 Jan 2000 03:44:18.050    03 Jan 2000 03:51:26.622      428.57185879    
03 Jan 2000 05:29:07.786    03 Jan 2000 05:40:14.355      666.56913488    
03 Jan 2000 07:15:13.377    03 Jan 2000 07:26:53.347      699.96940226    
03 Jan 2000 09:03:23.055    03 Jan 2000 09:11:40.934      497.87879779    


Number of events : 17


Observer: AP
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:03:08.315    01 Jan 2000 16:11:18.948      490.63327094    
01 Jan 2000 17:47:58.608    01 Jan 2000 17:59:45.485      706.87710940    
01 Jan 2000 19:34:26.785    01 Jan 2000 19:46:02.013      695.22834846    
01 Jan 2000 21:23:12.163    01 Jan 2000 21:30:38.977      446.81416266    
02 Jan 2000 04:32:41.906    02 Jan 2000 04:42:03.736      561.82988895    
02 Jan 2000 06:17:56.733    02 Jan 2000 06:29:45.761      709.02759939    
02 Jan 2000 08:04:55.343    02 Jan 2000 08:15:33.178      637.83464291    
02 Jan 2000 09:54:42.885    02 Jan 2000 09:59:28.984      286.09971176    
02 Jan 2000 15:18:03.535    02 Jan 2000 15:23:04.404      300.86892134    
02 Jan 2000 17:02:01.822    02 Jan 2000 17:12:53.384      651.56269911    
02 Jan 2000 18:47:49.643    02 Jan 2000 18:59:54.784      725.14124351    
02 Jan 2000 20:35:31.319    02 Jan 2000 20:45:12.387      581.06802892    
03 Jan 2000 03:47:17.368    03 Jan 2000 03:54:21.638      424.26971958    
03 Jan 2000 05:31:50.526    03 Jan 2000 05:43:08.644      678.11742959    
03 Jan 2000 07:18:04.406    03 Jan 2000 07:29:36.606      692.19974672    
03 Jan 2000 09:06:28.144    03 Jan 2000 09:14:26.011      477.86687877    


Number of events : 16


Observer: BA
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 17:53:50.432    01 Jan 2000 18:04:04.476      614.04440658    
01 Jan 2000 19:39:10.992    01 Jan 2000 19:51:15.122      724.12950086    
01 Jan 2000 21:26:10.426    01 Jan 2000 21:37:22.964      672.53856099    
01 Jan 2000 23:13:50.947    01 Jan 2000 23:23:43.579      592.63134190    
02 Jan 2000 01:00:50.458    02 Jan 2000 01:11:02.485      612.02754497    
02 Jan 2000 02:46:59.901    02 Jan 2000 02:58:32.696      692.79511382    
02 Jan 2000 04:33:22.649    02 Jan 2000 04:44:55.767      693.11811329    
02 Jan 2000 06:21:33.615    02 Jan 2000 06:29:13.490      459.87507992    
02 Jan 2000 17:08:38.282    02 Jan 2000 17:16:36.174      477.89192421    
02 Jan 2000 18:52:59.321    02 Jan 2000 19:04:46.728      707.40773573    
02 Jan 2000 20:39:24.795    02 Jan 2000 20:51:09.224      704.42954736    
02 Jan 2000 22:26:58.464    02 Jan 2000 22:37:16.605      618.14106322    
03 Jan 2000 00:14:21.949    03 Jan 2000 00:24:11.799      589.84985584    
03 Jan 2000 02:00:45.625    03 Jan 2000 02:11:48.266      662.64096141    
03 Jan 2000 03:46:54.294    03 Jan 2000 03:58:44.994      710.70064089    
03 Jan 2000 05:34:04.779    03 Jan 2000 05:44:03.144      598.36537179    


Number of events : 16


Observer: CE
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 16:06:42.940    01 Jan 2000 16:15:45.856      542.91571373    
01 Jan 2000 17:51:41.445    01 Jan 2000 18:03:42.118      720.67231344    
01 Jan 2000 19:38:31.428    01 Jan 2000 19:49:42.214      670.78610997    
01 Jan 2000 21:27:27.699    01 Jan 2000 21:34:34.119      426.41998610    
02 Jan 2000 01:05:21.747    02 Jan 2000 01:07:23.544      121.79681001    
02 Jan 2000 02:49:15.329    02 Jan 2000 02:58:06.703      531.37429260    
02 Jan 2000 04:34:30.168    02 Jan 2000 04:46:08.684      698.51530980    
02 Jan 2000 06:21:06.175    02 Jan 2000 06:32:13.262      667.08770731    
02 Jan 2000 08:10:24.030    02 Jan 2000 08:16:08.477      344.44706929    
02 Jan 2000 15:21:40.700    02 Jan 2000 15:27:43.004      362.30369140    
02 Jan 2000 17:05:39.133    02 Jan 2000 17:17:01.286      682.15357874    
02 Jan 2000 18:51:44.788    02 Jan 2000 19:03:39.071      714.28319947    
02 Jan 2000 20:39:47.630    02 Jan 2000 20:48:55.316      547.68589914    
02 Jan 2000 22:30:25.068    02 Jan 2000 22:32:56.205      151.13664817    
03 Jan 2000 02:03:37.236    03 Jan 2000 02:10:26.665      409.42922820    
03 Jan 2000 03:48:27.606    03 Jan 2000 03:59:22.430      654.82415389    
03 Jan 2000 05:34:26.105    03 Jan 2000 05:46:11.411      705.30522658    
03 Jan 2000 07:22:20.583    03 Jan 2000 07:31:08.384      527.80105522    


Number of events : 18


Observer: ES
Start Time (UTC)            Stop Time (UTC)               Duration (s)         
01 Jan 2000 17:56:52.860    01 Jan 2000 18:02:11.766      318.90607488    
01 Jan 2000 19:40:03.585    01 Jan 2000 19:51:10.546      666.96100185    
